"Date","Open","High","Low","Close","Adj.Close","Volume","Stock","Title","Year","Genre","Runtime","Director","Writer","Actors","Rated","IMDB.Rating","Metascore","IMDB.Votes","Awards","Box.Office","Country","Language","Description"
"1996-03-15",640.87,642.87,638.35,641.43,641.43,529970000,"^SPX","Executive Decision","1996","Action, Adventure, Thriller","133 min","Stuart Baird","Jim Thomas, John Thomas","Kurt Russell, Halle Berry, Steven Seagal","R",6.5,62,"62,304","2 wins & 2 nominations","$56,569,216","United States","English, Arabic","Terrorists take over a 747 bound from Athens to Washington D.C., supposedly to effect the release of their leader. Intelligence expert David Grant suspects another reason and convinces the military that the 'plane should not be allowed to enter U.S. airspace. An assault mission is devised, using a specially equipped 'plane designed for mid-air crew transfers, and Grant finds himself aboard the 747 with a team of military anti-terrorists who have to defuse a bomb and overpower the terrorists."
"1996-04-03",655.26,655.89,651.81,655.88,655.88,386620000,"^SPX","Primal Fear","1996","Crime, Drama, Mystery","129 min","Gregory Hoblit","William Diehl, Steve Shagan, Ann Biderman","Richard Gere, Laura Linney, Edward Norton","R",7.7,47,"255,459","Nominated for 1 Oscar. 10 wins & 12 nominations total","$56,116,183","United States","English, Spanish","When a young man, Aaron, is charged with the horrific murder of Archbishop Rushman, hot-shot Chicago lawyer Martin Vail takes on his defense at no charge. Aaron was a homeless street kid before he was taken in by the Archbishop. He's shy and speaks with a stammer. Vail is convinced that Aaron is innocent but after discovering a video that shows Aaron may have had good reason to want the Archbishop dead, he begins to question that conclusion. When Aaron lashes out at the psychologist examining him another personality, Roy, is revealed. With the trial already underway, Vail cannot change Aaron plea and so has to find a way to introduce his client's condition. Aaron has something of a surprise for him as well."
"1996-04-12",631.18,637.14,631.18,636.71,636.71,413270000,"^SPX","Fear","1996","Drama, Thriller","97 min","James Foley","Christopher Crowe","Mark Wahlberg, Reese Witherspoon, William Petersen","R",6.2,51,"58,186","1 win & 2 nominations total","$20,831,000","United States, Canada","English","Nicole walker is the average 16 year old girl; wants to have fun, and dreams of her Prince Charming. When she and her best friend Margot appear at a party, she meets older bad boy David. Everything seems to be going so well and Nicole and David become a couple. Nicole's family like David and she decides she loves him enough to give herself to him one night after a date. However, as soon as they became official, David has become a possessive and jealous boyfriend. He even beats up one of Nicole's close male friends when he is seen giving her a hug at the end of school. After this dark event Nicole never wants to see David again but he tries his hardest to make sure Nicole will take him back. Soon enough she forgives him and things seem to be going well again until a sick situation involving Nicole's best friend Margot turns to her and David breaking up again. This time David is not taking any chances with not being with Nicole so him and his friends go into her family home and attempt to take Nicole. Will David get Nicole or will she and her family hold back and get rid of David's sick craving for Nicole?"
"1996-04-12",631.18,637.14,631.18,636.71,636.71,413270000,"^SPX","James and the Giant Peach","1996","Animation, Adventure, Family","79 min","Henry Selick","Roald Dahl, Karey Kirkpatrick, Jonathan Roberts","Paul Terry, Joanna Lumley, Pete Postlethwaite","PG",6.7,78,"75,770","Nominated for 1 Oscar. 4 wins & 13 nominations total","$28,946,127","United Kingdom, United States","English","James' happy life at the English seaside is rudely ended when his parents are killed by a rhinoceros and he goes to live with his two horrid aunts. Daringly saving the life of a spider he comes into possession of magic boiled crocodile tongues, after which an enormous peach starts to grow in the garden. Venturing inside, he meets not only the spider but a number of new friends including a ladybug and a centipede who help him with his plan to try to get to New York."
"1996-06-14",667.92,668.4,664.35,665.85,665.85,390630000,"^SPX","The Cable Guy","1996","Comedy, Drama, Thriller","96 min","Ben Stiller","Lou Holtz Jr.","Jim Carrey, Matthew Broderick, Leslie Mann","PG-13",6.1,56,"183,517","3 wins & 2 nominations total","$60,240,295","United States","English, French","Steven Kovak has been kicked out of his apartment by his girlfriend. Steven has a new apartment, and decides to slip the cable guy (Chip) $50 for free cable. Steven then fakes an interest in Chip's line of work. However Chip takes this to heart trying to become Steven's best bud. When Steven no longer wants to be Chips friend the man who can do it all goes on an all out assault to ruin Steven's life. In the backdrop is the delicate sub-plot of the trial of a former kid star for murdering his brother."
"1996-06-21",662.1,666.84,662.1,666.84,666.84,520340000,"^SPX","The Hunchback of Notre Dame","1996","Animation, Drama, Family","91 min","Gary Trousdale, Kirk Wise","Tab Murphy, Victor Hugo, Irene Mecchi","Demi Moore, Jason Alexander, Mary Kay Bergman","G",7,74,"176,180","Nominated for 1 Oscar. 8 wins & 26 nominations total","$100,138,851","United States","English, Latin","In 15th-century Paris, Clopin the puppeteer tells the story of Quasimodo, the misshapen but gentle-souled bell ringer of Notre Dame, who was nearly killed as a baby by Claude Frollo, the Minister of Justice. But Frollo was forced by the Archdeacon of Notre Dame to raise Quasimodo as his own. Now a young man, Quasimodo is hidden from the world by Frollo in the belltower of the cathedral. But during the Festival of Fools, Quasimodo, cheered on by his gargoyle friends Victor, Hugo, and Laverne, decides to take part in the festivities, where he meets the lovely gypsy girl Esmeralda and the handsome soldier Phoebus. The three of them find themselves ranged against Frollo's cruelty and his attempts to destroy the home of the gypsies, the Court of Miracles. And Quasimodo must desperately defend both Esmeralda and the very cathedral of Notre Dame."
"1996-07-03",673.61,673.64,670.21,672.4,672.4,336260000,"^SPX","Phenomenon","1996","Drama, Fantasy, Romance","123 min","Jon Turteltaub","Gerald Di Pego","John Travolta, Kyra Sedgwick, Forest Whitaker","PG",6.4,42,"85,730","7 wins & 8 nominations total","$104,636,382","United States","English, Spanish, Portuguese","John Travolta plays George Malley, who owns the local auto repair shop in a small California town. After celebrating his birthday with friends at the local bar/hang-out, George heads for home. He pauses to watch a strange light in the sky, then collapses for a few seconds in the middle of the deserted street. In the days and weeks that follow, George finds his IQ and consciousness expanding dramatically, and develops telekinetic abilities. Despite his attempts to explain what has happened to him, with just a very few exceptions, most of the local townspeople treat the ""new"" George as a freak. His state of isolation becomes even more pronounced when his new-found abilities allow him to correctly predict an earthquake, and outside authorities become interested in what's happened to him."
"1996-07-19",643.51,643.51,635.5,638.73,638.73,408070000,"^SPX","The Frighteners","1996","Comedy, Fantasy, Horror","110 min","Peter Jackson","Fran Walsh, Peter Jackson","Michael J. Fox, Trini Alvarado, Peter Dobson","R",7.1,52,"98,168","3 wins & 17 nominations total","$16,759,216","New Zealand, United States","English","After a car accident in which his wife, Debra, was killed and he was injured, Frank Bannister develops psychic abilities allowing him to see, hear, and communicate with ghosts. After losing his wife, he then gave up his job as an architect, letting his unfinished ""dream house"" sit incomplete for years, and put these skills to use by befriending a few ghosts and getting them to haunt houses in the area to drum up work for his ghostbusting business; Then Frank proceeds to ""exorcise"" the houses for a fee. But when he discovers that an entity resembling the Grim Reaper is killing people, marking numbers on their forehead beforehand, Frank tries to help the people whom the Reaper is after!"
"1996-07-24",626.19,629.1,616.43,626.65,626.65,463030000,"^SPX","A Time to Kill","1996","Crime, Drama, Thriller","149 min","Joel Schumacher","John Grisham, Akiva Goldsman","Matthew McConaughey, Sandra Bullock, Samuel L. Jackson","R",7.5,54,"186,523","7 wins & 12 nominations","$108,766,007","United States","English","When Tonya Hailey, an innocent little African-American girl is raped and beaten by 2 beer-guzzling rednecks, the town of Clanton, Mississippi is shocked. Her father Carl Lee Hailey is outraged, and figuring he could not see those boys set free, decides to take justice into his own hands and kills them in the court house, in front of numerous witnesses. Now it's up to Jake Brigance to get Carl Lee off the hook. He has people that help him, but he is up against tough D.A. Rufus Buckley. Will he be able to prove that a black man can get a fair trial in Mississippi?"
"1996-08-09",662.59,665.37,660.31,662.1,662.1,327280000,"^SPX","Escape from L.A.","1996","Action, Adventure, Sci-Fi","101 min","John Carpenter","John Carpenter, Nick Castle, Debra Hill","Kurt Russell, Steve Buscemi, Stacy Keach","R",5.7,54,"82,520","3 nominations total","$25,477,365","United States","English, Spanish","The year is 2013 and Snake Plissken is back but this time it's L.A., which through the agency of earthquakes has become an island of the damned. But something has gone wrong in this new moral order, because the President's daughter has absconded to L.A. with a detonation device, and Snake is commandeered to retrieve it. But just below the surface there is a coiled Snake ready to strike."
